Running 1m test @ https://rpyfifab72.execute-api.eu-central-1.amazonaws.com/test/python_matrix
  2 threads and 100 connections
  Thread calibration: mean lat.: 279.444ms, rate sampling interval: 777ms
  Thread calibration: mean lat.: 267.766ms, rate sampling interval: 750ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency   249.03ms   12.30ms 375.04ms   76.03%
    Req/Sec    49.18     27.50    66.00     75.38%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%  247.42ms
 75.000%  256.77ms
 90.000%  262.02ms
 99.000%  289.28ms
 99.900%  323.33ms
 99.990%  375.30ms
 99.999%  375.30ms
100.000%  375.30ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

     225.023     0.000000            1         1.00
     236.287     0.100000          506         1.11
     238.591     0.200000         1011         1.25
     240.639     0.300000         1481         1.43
     243.967     0.400000         1981         1.67
     247.423     0.500000         2467         2.00
     249.215     0.550000         2710         2.22
     251.007     0.600000         2954         2.50
     252.671     0.650000         3203         2.86
     254.719     0.700000         3449         3.33
     256.767     0.750000         3695         4.00
     257.407     0.775000         3816         4.44
     258.175     0.800000         3954         5.00
     259.071     0.825000         4066         5.71
     260.223     0.850000         4190         6.67
     261.247     0.875000         4315         8.00
     261.631     0.887500         4374         8.89
     262.015     0.900000         4431        10.00
     262.655     0.912500         4507        11.43
     263.423     0.925000         4557        13.33
     264.447     0.937500         4620        16.00
     265.727     0.943750         4655        17.78
     266.751     0.950000         4677        20.00
     268.031     0.956250         4709        22.86
     270.591     0.962500         4738        26.67
     275.711     0.968750         4769        32.00
     279.295     0.971875         4785        35.56
     281.599     0.975000         4799        40.00
     283.647     0.978125         4817        45.71
     284.671     0.981250         4830        53.33
     285.951     0.984375         4849        64.00
     286.463     0.985938         4855        71.11
     286.975     0.987500         4862        80.00
     288.511     0.989062         4869        91.43
     290.047     0.990625         4876       106.67
     292.607     0.992188         4884       128.00
     293.631     0.992969         4888       142.22
     298.495     0.993750         4892       160.00
     305.151     0.994531         4896       182.86
     305.919     0.995313         4899       213.33
     306.431     0.996094         4905       256.00
     306.431     0.996484         4905       284.44
     306.943     0.996875         4907       320.00
     307.455     0.997266         4909       365.71
     309.759     0.997656         4911       426.67
     315.647     0.998047         4913       512.00
     318.975     0.998242         4914       568.89
     321.023     0.998437         4915       640.00
     323.327     0.998633         4917       731.43
     323.327     0.998828         4917       853.33
     328.447     0.999023         4918      1024.00
     328.447     0.999121         4918      1137.78
     331.007     0.999219         4919      1280.00
     331.007     0.999316         4919      1462.86
     340.223     0.999414         4920      1706.67
     340.223     0.999512         4920      2048.00
     340.223     0.999561         4920      2275.56
     357.119     0.999609         4921      2560.00
     357.119     0.999658         4921      2925.71
     357.119     0.999707         4921      3413.33
     357.119     0.999756         4921      4096.00
     357.119     0.999780         4921      4551.11
     375.295     0.999805         4922      5120.00
     375.295     1.000000         4922          inf
#[Mean    =      249.032, StdDeviation   =       12.297]
#[Max     =      375.040, Total count    =         4922]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  5902 requests in 1.00m, 3.10MB read
Requests/sec:     97.96
Transfer/sec:     52.71KB
