Running 1m test @ https://rpyfifab72.execute-api.eu-central-1.amazonaws.com/test/python_matrix
  2 threads and 25 connections
  Thread calibration: mean lat.: 255.055ms, rate sampling interval: 535ms
  Thread calibration: mean lat.: 262.296ms, rate sampling interval: 529ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency   248.65ms   13.98ms 357.38ms   76.84%
    Req/Sec    12.08     10.28    22.00     64.32%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%  247.17ms
 75.000%  255.62ms
 90.000%  264.96ms
 99.000%  299.77ms
 99.900%  326.65ms
 99.990%  357.63ms
 99.999%  357.63ms
100.000%  357.63ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

     226.431     0.000000            1         1.00
     234.367     0.100000          126         1.11
     236.671     0.200000          250         1.25
     239.487     0.300000          375         1.43
     243.583     0.400000          503         1.67
     247.167     0.500000          629         2.00
     248.447     0.550000          687         2.22
     249.727     0.600000          752         2.50
     251.263     0.650000          813         2.86
     253.311     0.700000          875         3.33
     255.615     0.750000          937         4.00
     256.895     0.775000          969         4.44
     257.791     0.800000         1001         5.00
     259.199     0.825000         1035         5.71
     260.479     0.850000         1066         6.67
     262.015     0.875000         1092         8.00
     263.167     0.887500         1110         8.89
     264.959     0.900000         1126        10.00
     266.239     0.912500         1139        11.43
     267.775     0.925000         1157        13.33
     270.079     0.937500         1171        16.00
     271.103     0.943750         1178        17.78
     273.151     0.950000         1187        20.00
     274.431     0.956250         1194        22.86
     276.223     0.962500         1204        26.67
     279.551     0.968750         1210        32.00
     280.319     0.971875         1213        35.56
     281.343     0.975000         1217        40.00
     284.671     0.978125         1221        45.71
     286.463     0.981250         1225        53.33
     294.655     0.984375         1230        64.00
     296.703     0.985938         1231        71.11
     297.215     0.987500         1233        80.00
     299.263     0.989062         1235        91.43
     300.543     0.990625         1237       106.67
     301.823     0.992188         1239       128.00
     305.151     0.992969         1240       142.22
     308.479     0.993750         1241       160.00
     310.271     0.994531         1242       182.86
     310.783     0.995313         1243       213.33
     314.367     0.996094         1244       256.00
     314.367     0.996484         1244       284.44
     314.623     0.996875         1245       320.00
     314.623     0.997266         1245       365.71
     325.887     0.997656         1246       426.67
     325.887     0.998047         1246       512.00
     325.887     0.998242         1246       568.89
     326.655     0.998437         1247       640.00
     326.655     0.998633         1247       731.43
     326.655     0.998828         1247       853.33
     326.655     0.999023         1247      1024.00
     326.655     0.999121         1247      1137.78
     357.631     0.999219         1248      1280.00
     357.631     1.000000         1248          inf
#[Mean    =      248.647, StdDeviation   =       13.980]
#[Max     =      357.376, Total count    =         1248]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  1512 requests in 1.00m, 813.59KB read
Requests/sec:     25.13
Transfer/sec:     13.52KB
