Running 1m test @ https://yr4jnlmdn9.execute-api.eu-central-1.amazonaws.com/test/dotnet_matrix
  2 threads and 50 connections
  Thread calibration: mean lat.: 88.385ms, rate sampling interval: 254ms
  Thread calibration: mean lat.: 66.319ms, rate sampling interval: 207ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    49.67ms   14.49ms 123.33ms   75.67%
    Req/Sec    24.79     44.93   121.00     77.80%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   47.29ms
 75.000%   56.38ms
 90.000%   69.69ms
 99.000%   93.76ms
 99.900%  121.09ms
 99.990%  123.39ms
 99.999%  123.39ms
100.000%  123.39ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      31.487     0.000000            1         1.00
      35.103     0.100000          250         1.11
      36.895     0.200000          494         1.25
      39.263     0.300000          739         1.43
      43.007     0.400000          980         1.67
      47.295     0.500000         1227         2.00
      48.543     0.550000         1351         2.22
      50.047     0.600000         1471         2.50
      51.807     0.650000         1594         2.86
      53.823     0.700000         1716         3.33
      56.383     0.750000         1838         4.00
      57.279     0.775000         1900         4.44
      58.591     0.800000         1960         5.00
      60.063     0.825000         2023         5.71
      62.047     0.850000         2083         6.67
      65.663     0.875000         2144         8.00
      68.223     0.887500         2175         8.89
      69.695     0.900000         2209        10.00
      70.591     0.912500         2236        11.43
      72.639     0.925000         2267        13.33
      79.039     0.937500         2297        16.00
      80.767     0.943750         2313        17.78
      81.983     0.950000         2328        20.00
      83.007     0.956250         2343        22.86
      83.967     0.962500         2359        26.67
      86.655     0.968750         2374        32.00
      88.831     0.971875         2382        35.56
      90.047     0.975000         2389        40.00
      91.135     0.978125         2397        45.71
      91.839     0.981250         2405        53.33
      92.607     0.984375         2412        64.00
      93.183     0.985938         2418        71.11
      93.247     0.987500         2420        80.00
      93.503     0.989062         2424        91.43
      94.143     0.990625         2428       106.67
      94.335     0.992188         2431       128.00
      94.911     0.992969         2433       142.22
      95.295     0.993750         2435       160.00
      95.551     0.994531         2437       182.86
      97.727     0.995313         2439       213.33
      98.687     0.996094         2441       256.00
     103.615     0.996484         2442       284.44
     104.383     0.996875         2443       320.00
     111.103     0.997266         2444       365.71
     113.279     0.997656         2445       426.67
     114.047     0.998047         2446       512.00
     114.047     0.998242         2446       568.89
     118.335     0.998437         2447       640.00
     118.335     0.998633         2447       731.43
     121.087     0.998828         2448       853.33
     121.087     0.999023         2448      1024.00
     121.087     0.999121         2448      1137.78
     122.175     0.999219         2449      1280.00
     122.175     0.999316         2449      1462.86
     122.175     0.999414         2449      1706.67
     122.175     0.999512         2449      2048.00
     122.175     0.999561         2449      2275.56
     123.391     0.999609         2450      2560.00
     123.391     1.000000         2450          inf
#[Mean    =       49.666, StdDeviation   =       14.493]
#[Max     =      123.328, Total count    =         2450]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  2952 requests in 1.00m, 1.69MB read
Requests/sec:     49.16
Transfer/sec:     28.85KB
